beds,category,city,direction,district,news_begin_date,news_end_date,news_id,news_type_level,price,root,square,street,ward,label_price
,Nhà đất bán,Hà Nội,Đông-Bắc,Nam Từ Liêm,8/28/2018,9/12/2018,17361948,Tin Vip 2,36,nha_dat_ban,502m²,Trần Hữu Dực,Xuân Phương,triệu/m²
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 9,9/6/2018,9/13/2018,17172262,Tin thường,4,nha_dat_thue,49m²,Liên Phường,Phú Hữu,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Tân Phú,9/7/2018,9/18/2018,17302492,Tin thường,14,nha_dat_ban,158m²,Trần Thủ Độ,Phú Thạnh,tỷ
4+,Nhà đất bán,Đà Nẵng,Tây,Hải Châu,9/7/2018,9/14/2018,17422777,Tin thường,4.5,nha_dat_ban,54m²,Bắc Đẩu,Thanh Bình,tỷ
,Nhà đất bán,Hà Nội,,Thanh Oai,8/14/2018,9/13/2018,17225569,Tin Vip 3,,nha_dat_ban,97.3m²,,Thanh Mai,
2+,Nhà đất cho thuê,Hà Nội,Tây-Bắc,Thanh Xuân,9/4/2018,9/11/2018,17098911,Tin thường,14.5,nha_dat_thue,70m²,Lê Văn Lương,Nhân Chính,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 6,8/30/2018,10/14/2018,17377264,Tin thường,4,nha_dat_thue,21m²,Hậu Giang,11,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 3,9/3/2018,9/10/2018,15296759,Tin thường,,nha_dat_thue,231.42m²,Lê Văn Sỹ,,
2+,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Quận 12,9/6/2018,9/13/2018,17423622,Tin thường,2.58,nha_dat_ban,52m²,Thạnh Lộc 37,Thạnh Lộc,tỷ
2+,Nhà đất cho thuê,Hồ Chí Minh,,Bình Thạnh,9/8/2018,9/15/2018,16934774,Tin thường,12,nha_dat_thue,65m²,D2,25,triệu/tháng
,Nhà đất bán,Đắk Lắk,,Buôn Ma Thuột,9/7/2018,9/14/2018,17400873,Tin thường,1.08,nha_dat_ban,435m²,Dã Tượng,Tân An,tỷ
1+,Nhà đất cho thuê,Bình Dương,,Thủ Dầu Một,9/7/2018,9/14/2018,17509687,Tin thường,6.5,nha_dat_thue,60m²,Yersin,Phú Cường,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/6/2018,9/13/2018,17499808,Tin thường,350,nha_dat_ban,121m²,Trịnh Như Khuê,,triệu
,Nhà đất bán,Hà Nội,,Hai Bà Trưng,9/7/2018,9/14/2018,16974162,Tin thường,13.5,nha_dat_ban,100m²,Võ Thị Sáu,Thanh Nhàn,tỷ
,Nhà đất cho thuê,Hà Nội,,Đống Đa,9/7/2018,9/14/2018,17509927,Tin thường,250,nha_dat_thue,340m²,Láng Hạ,Láng Hạ,nghìn/m2/tháng
,Nhà đất bán,Hồ Chí Minh,,Tân Bình,9/8/2018,9/15/2018,17524755,Tin thường,6.5,nha_dat_ban,56m²,Hoàng Hoa Thám,12,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/5/2018,9/12/2018,17007326,Tin thường,3.15,nha_dat_ban,75m²,Trịnh Quang Nghị,Phong Phú,tỷ
,Nhà đất bán,Long An,,Bến Lức,9/6/2018,9/13/2018,17501839,Tin thường,500,nha_dat_ban,100m²,Phan Văn Mảng,Bến Lức,triệu
,Nhà đất cho thuê,Bình Dương,,Thủ Dầu Một,9/9/2018,9/16/2018,16771022,Tin thường,8,nha_dat_thue,60m²,Phạm Ngọc Thạch,Hiệp Thành,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/7/2018,9/14/2018,17501393,Tin thường,850,nha_dat_ban,125m²,Tỉnh Lộ 10,Lê Minh Xuân,triệu
,Nhà đất bán,Hồ Chí Minh,,Quận 12,9/9/2018,9/16/2018,17109424,Tin thường,1.4,nha_dat_ban,44m²,Tân Thới Nhất 1,Tân Thới Nhất,tỷ
3+,Nhà đất bán,Bình Dương,,Dĩ An,9/7/2018,9/14/2018,17147647,Tin thường,2.95,nha_dat_ban,Không xác định,ĐT 743,,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Tân,9/7/2018,9/14/2018,17161797,Tin thường,1.4,nha_dat_ban,80m²,17,Bình Trị Đông B,tỷ
,Nhà đất bán,Hồ Chí Minh,,Gò Vấp,9/6/2018,9/13/2018,17319858,Tin Vip 3,4.8,nha_dat_ban,64m²,Nguyễn Kiệm,3,tỷ
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 12,9/4/2018,9/11/2018,16593654,Tin thường,32,nha_dat_thue,900m²,Nguyễn Ảnh Thủ,Hiệp Thành,triệu/tháng
4+,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Gò Vấp,9/7/2018,9/14/2018,17513766,Tin thường,6.5,nha_dat_ban,50m²,Quang Trung,8,tỷ
,Nhà đất bán,Hà Nội,Tây,Hoàn Kiếm,9/6/2018,9/13/2018,14061671,Tin thường,165,nha_dat_ban,190m²,Hàng Hành,Hàng Trống,tỷ
,Nhà đất bán,Bình Dương,,Thủ Dầu Một,9/6/2018,9/13/2018,17501496,Tin thường,2.4,nha_dat_ban,290m²,Huỳnh Thị Hiếu,Tân An,tỷ
,Nhà đất bán,Nghệ An,Đông-Nam,Vinh,9/6/2018,9/13/2018,17415572,Tin thường,,nha_dat_ban,160m²,Phượng Hoàng,Trung Đô,
,Nhà đất bán,Hà Nội,Đông-Nam,Hà Đông,9/5/2018,9/12/2018,12805840,Tin thường,,nha_dat_ban,330m²,Lê Văn Lương,Vạn Phúc,
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 5,9/8/2018,9/15/2018,17291558,Tin thường,30,nha_dat_thue,100m²,Trần Bình Trọng,,triệu/tháng
,Nhà đất bán,Long An,,Cần Đước,9/8/2018,9/15/2018,17520141,Tin thường,680,nha_dat_ban,100m²,Vành Đai 4,Long Định,triệu
,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/8/2018,9/15/2018,15411811,Tin thường,449,nha_dat_ban,80m²,Lê Văn Việt,Long Bình,triệu
,Nhà đất bán,Bình Dương,Đông-Bắc,Thuận An,9/10/2018,9/17/2018,15859607,Tin thường,6,nha_dat_ban,482.1m²,Vĩnh Phú 2,Vĩnh Phú,tỷ
,Nhà đất cho thuê,Hà Nội,,Thanh Xuân,9/8/2018,9/15/2018,17526109,Tin thường,38,nha_dat_thue,200m²,Hoàng Văn Thái,Khương Trung,triệu/tháng
,Nhà đất bán,Khánh Hòa,Tây-Bắc,Nha Trang,9/8/2018,9/18/2018,17518898,Tin thường,4.3,nha_dat_ban,28m²,Hùng Vương,Lộc Thọ,tỷ
,Nhà đất bán,Hưng Yên,,Văn Giang,9/7/2018,9/14/2018,15318278,Tin thường,,nha_dat_ban,210m²,Thủy Nguyên,Xuân Quan,
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,8/25/2018,9/22/2018,16953364,Tin thường,,nha_dat_ban,70m²,Trần Văn Giàu,,
,Nhà đất bán,Hà Nội,Tây-Nam,Hà Đông,9/7/2018,10/7/2018,17507218,Tin thường,2.9,nha_dat_ban,50m²,Lê Văn Lương,La Khê,tỷ
2+,Nhà đất cho thuê,Hồ Chí Minh,,Tân Bình,9/6/2018,9/13/2018,17496855,Tin thường,9.5,nha_dat_thue,80m²,Trương Công Định,13,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Tân Bình,9/7/2018,9/14/2018,17418161,Tin thường,17.5,nha_dat_ban,100m²,Cộng Hòa,12,tỷ
3+,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/8/2018,9/15/2018,17521386,Tin thường,1.45,nha_dat_ban,102m²,Đinh Đức Thiện,Tân Quý Tây,tỷ
,Nhà đất bán,Hồ Chí Minh,,Thủ Đức,9/8/2018,9/15/2018,17520103,Tin thường,32,nha_dat_ban,85m²,,,triệu/m²
,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/7/2018,9/14/2018,17506924,Tin Vip 2,23,nha_dat_thue,30m²,Xuân Thủy,Nghĩa Tân,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Hóc Môn,9/8/2018,9/15/2018,17385288,Tin thường,350,nha_dat_ban,85m²,Nguyễn Văn Bứa,Xuân Thới Sơn,triệu
4+,Nhà đất bán,Hồ Chí Minh,,Quận 8,8/18/2018,9/18/2018,17275862,Tin thường,4.1,nha_dat_ban,53m²,An Dương Vương,16,tỷ
4+,Nhà đất bán,Hà Nội,Đông-Bắc,Ba Đình,9/7/2018,9/19/2018,17317686,Tin thường,4.5,nha_dat_ban,30m²,Văn Cao,Liễu Giai,tỷ
,Nhà đất bán,Hà Nội,,Hà Đông,9/7/2018,9/14/2018,17511366,Tin thường,5.2,nha_dat_ban,52m²,Trần Đăng Ninh,Hà Cầu,tỷ
5+,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/8/2018,9/15/2018,17443702,Tin thường,6.876,nha_dat_ban,Không xác định,Võ Chí Công,Phú Hữu,tỷ
,Nhà đất bán,Bình Dương,,Thủ Dầu Một,9/9/2018,9/16/2018,16428628,Tin thường,1.82,nha_dat_ban,154m²,DX 084,Định Hòa,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 1,9/7/2018,9/14/2018,17436467,Tin thường,13,nha_dat_ban,72m²,Phạm Viết Chánh,Nguyễn Cư Trinh,tỷ
,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/10/2018,9/17/2018,17532739,Tin thường,,nha_dat_thue,990m²,Cầu Giấy,Dịch Vọng,
4+,Nhà đất bán,Hà Nội,,Thanh Trì,9/7/2018,9/14/2018,16167181,Tin thường,1.75,nha_dat_ban,36m²,Yên Ngưu,Tứ Hiệp,tỷ
,Nhà đất bán,Bình Dương,,Thủ Dầu Một,9/10/2018,9/17/2018,17537842,Tin thường,20,nha_dat_ban,90m²,Phạm Ngọc Thạch,Hòa Phú,triệu/m²
2+,Nhà đất cho thuê,Hà Nội,,Thanh Trì,9/5/2018,9/13/2018,17349226,Tin thường,9,nha_dat_thue,68m²,Nguyễn Xiển,Tân Triều,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 3,9/4/2018,9/11/2018,17391388,Tin Vip 3,,nha_dat_thue,189m²,Nguyễn Đình Chiểu,4,
,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Quận 2,9/7/2018,9/14/2018,16238711,Tin thường,42,nha_dat_ban,160m²,Đồng Văn Cống,Cát Lái,triệu/m²
,Nhà đất bán,Hồ Chí Minh,,Bình Tân,9/8/2018,9/15/2018,17361801,Tin thường,,nha_dat_ban,68m²,Bùi Tư Toàn,An Lạc,
,Nhà đất bán,Hồ Chí Minh,,Quận 7,9/7/2018,9/14/2018,17244041,Tin thường,719,nha_dat_ban,100m²,Phạm Hữu Lầu,Phú Mỹ,triệu
,Nhà đất bán,Khánh Hòa,,Cam Ranh,9/6/2018,9/13/2018,9433162,Tin thường,1,nha_dat_ban,126m²,Nguyễn Tất Thành,Cam Lập,tỷ
3+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,9/6/2018,9/13/2018,17500468,Tin thường,9,nha_dat_thue,110m²,Lương Định Của,Bình An,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Tân Phú,9/10/2018,9/17/2018,17535250,Tin thường,3.4,nha_dat_ban,48m²,Tân Quý,Tân Quý,tỷ
4+,Nhà đất bán,Hà Nội,,Đống Đa,9/6/2018,9/13/2018,17396749,Tin thường,3.9,nha_dat_ban,39m²,Nguyễn Phúc Lai,Ô Chợ Dừa,tỷ
3+,Nhà đất cho thuê,Hà Nội,,Nam Từ Liêm,9/8/2018,9/17/2018,14269047,Tin thường,13,nha_dat_thue,117m²,Lê Đức Thọ,Mỹ Đình 2,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Quận 12,9/7/2018,9/17/2018,17345706,Tin thường,6,nha_dat_ban,109m²,Trần Thị Hè,Hiệp Thành,tỷ
,Nhà đất bán,Đà Nẵng,,Ngũ Hành Sơn,9/4/2018,9/11/2018,17464038,Tin thường,7,nha_dat_ban,136.8m²,Võ Như Hưng,,tỷ
,Nhà đất bán,Hồ Chí Minh,,Hóc Môn,9/7/2018,9/14/2018,17505285,Tin thường,900,nha_dat_ban,100m²,Lê Thị Hà,Tân Hiệp,triệu
,Nhà đất cho thuê,Tiền Giang,,Gò Công,9/6/2018,10/6/2018,17498463,Tin thường,,nha_dat_thue,1000m²,,5,
5+,Nhà đất bán,Hà Nội,Tây-Bắc,Cầu Giấy,9/10/2018,9/17/2018,15929955,Tin thường,15,nha_dat_ban,75m²,Trung Kính,Yên Hòa,tỷ
,Nhà đất cần thuê,Hồ Chí Minh,,Bình Thạnh,1/1/2018,1/1/2018,,,,nha_dat_can_thue,Trên 60m²,,,
3+,Nhà đất bán,Hà Nội,,Hai Bà Trưng,9/6/2018,9/13/2018,17497849,Tin thường,2.85,nha_dat_ban,35m²,Trần Khát Chân,Thanh Lương,tỷ
,Nhà đất bán,Khánh Hòa,,Cam Ranh,9/4/2018,9/11/2018,17462914,Tin Vip 1,16,nha_dat_ban,120m²,Nguyễn Tất Thành,Cam Nghĩa,triệu/m²
4+,Nhà đất bán,Hồ Chí Minh,Nam,Quận 9,9/4/2018,9/11/2018,16382569,Tin Vip 3,7.5,nha_dat_ban,160m²,Bưng Ông Thoàn,Phú Hữu,tỷ
,Nhà đất bán,Hồ Chí Minh,Nam,Quận 9,9/6/2018,9/13/2018,14407097,Tin thường,1.7,nha_dat_ban,52m²,Số 1,Long Trường,tỷ
,Nhà đất bán,Long An,,Đức Hòa,9/7/2018,9/14/2018,16815942,Tin thường,6,nha_dat_ban,140m²,Vành Đai 4,Đức Lập Thượng,triệu/m²
,Nhà đất bán,Bình Dương,Tây-Nam,Thuận An,9/10/2018,9/17/2018,17275759,Tin thường,2.15,nha_dat_ban,100.9m²,Phan Thanh Giản,Lái Thiêu,tỷ
,Nhà đất bán,Khánh Hòa,,Cam Lâm,9/5/2018,9/12/2018,17019480,Tin thường,7,nha_dat_ban,300m²,Nguyễn Tất Thành,Cam Hải Đông,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 1,9/10/2018,9/17/2018,17531842,Tin thường,410,nha_dat_ban,Không xác định,Hàm Nghi,,tỷ
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,9/5/2018,9/12/2018,17470643,Tin thường,45,nha_dat_thue,100m²,Mai Chí Thọ,An Phú,triệu/tháng
,Nhà đất bán,Hà Nội,,Cầu Giấy,9/8/2018,9/15/2018,8264065,Tin thường,40,nha_dat_ban,100m²,Nguyễn Văn Huyên,Quan Hoa,tỷ
,Nhà đất cho thuê,Hưng Yên,,Văn Giang,9/9/2018,9/16/2018,16605590,Tin thường,,nha_dat_thue,100m²,Thủy Nguyên,Xuân Quan,
,Nhà đất bán,Hồ Chí Minh,Tây,Bình Tân,9/8/2018,9/15/2018,17341071,Tin thường,3.75,nha_dat_ban,56m²,,An Lạc,tỷ
4+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/4/2018,9/11/2018,17281933,Tin thường,80,nha_dat_thue,111m²,Hà Huy Tập,Tân Phong,triệu/tháng
3+,Nhà đất cho thuê,Hồ Chí Minh,Đông-Nam,Quận 8,9/5/2018,9/12/2018,17473585,Tin thường,15,nha_dat_thue,150m²,Tạ Quang Bửu,5,triệu/tháng
4+,Nhà đất bán,Hồ Chí Minh,Nam,Quận 7,9/7/2018,9/14/2018,17514363,Tin thường,15,nha_dat_ban,200m²,Bùi Bằng Đoàn,Tân Phong,tỷ
,Nhà đất cần thuê,Hà Nội,,Cầu Giấy,1/1/2018,1/1/2018,,,1,nha_dat_can_thue,30m² - 50m²,Mai Dịch,Dịch Vọng Hậu,triệu
,Nhà đất bán,Hồ Chí Minh,,Thủ Đức,9/8/2018,9/15/2018,17256248,Tin thường,33,nha_dat_ban,150m²,Ngô Chí Quốc,Bình Chiểu,triệu/m²
,Nhà đất bán,Đồng Nai,,Biên Hòa,9/10/2018,9/17/2018,17532982,Tin thường,10,nha_dat_ban,Không xác định,Quốc Lộ 51,Phước Tân,triệu/m²
,Nhà đất bán,Hồ Chí Minh,Bắc,Thủ Đức,9/6/2018,9/13/2018,17481561,Tin thường,7.6,nha_dat_ban,110m²,Quốc Lộ 13,Hiệp Bình Phước,tỷ
3+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 3,8/13/2018,9/13/2018,17204406,Tin thường,6,nha_dat_thue,17.5m²,Cách Mạng Tháng Tám,10,triệu/tháng
,Nhà đất bán,Long An,,Đức Hòa,9/8/2018,9/15/2018,15187161,Tin thường,250,nha_dat_ban,100m²,Tỉnh lộ 8,,triệu
,Nhà đất bán,Hà Nội,Đông-Nam,Nam Từ Liêm,9/7/2018,9/14/2018,17106319,Tin thường,,nha_dat_ban,96m²,Lê Quang Đạo,Đại Mỗ,
3+,Nhà đất bán,Quảng Nam,Đông,Hội An,9/4/2018,9/30/2018,16636849,Tin thường,30,nha_dat_ban,1100m²,Âu Cơ,Cửa Đại,triệu/m²
2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/4/2018,9/15/2018,15849491,Tin thường,16.3,nha_dat_thue,68.66m²,Phạm Văn Nghị,Tân Phong,triệu/tháng
,Nhà đất bán,Đồng Nai,,Biên Hòa,9/4/2018,9/11/2018,17466251,Tin Vip 1,10,nha_dat_ban,100m²,Quốc Lộ 51,Phước Tân,triệu/m²
,Nhà đất bán,Thái Nguyên,,Phú Bình,7/5/2018,1/1/2019,16655835,Tin thường,6.7,nha_dat_ban,170000m²,,Điềm Thụy,triệu/m²
,Nhà đất cho thuê,Hồ Chí Minh,,Tân Phú,8/30/2018,11/28/2018,17371815,Tin thường,,nha_dat_thue,100m²,Nguyễn Trọng Quyền,Tân Thới Hòa,
,Nhà đất bán,Bà Rịa Vũng Tàu,,Bà Rịa,9/7/2018,9/14/2018,17509926,Tin thường,1,nha_dat_ban,140m²,Quốc Lộ 51,Kim Dinh,tỷ
,Nhà đất bán,Bà Rịa Vũng Tàu,Tây-Bắc,Vũng Tàu,9/7/2018,9/27/2018,16185837,Tin thường,16.8,nha_dat_ban,210m²,,9,triệu/m²
1+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 10,9/5/2018,9/12/2018,17476917,Tin thường,14,nha_dat_thue,53m²,Lý Thường Kiệt,14,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Phú Nhuận,9/6/2018,9/13/2018,17399059,Tin thường,43,nha_dat_thue,98m²,Nguyễn Trọng Tuyển,8,triệu/tháng
,Nhà đất bán,Hà Nội,,Thạch Thất,9/7/2018,9/14/2018,17509184,Tin Vip 2,500,nha_dat_ban,120m²,Đại lộ Thăng Long,Tiến Xuân,triệu
,Nhà đất bán,Hồ Chí Minh,,Quận 1,9/8/2018,9/15/2018,15178346,Tin thường,52,nha_dat_ban,100.8m²,Phạm Ngũ Lão,Phạm Ngũ Lão,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 3,9/7/2018,9/14/2018,16716237,Tin thường,,nha_dat_ban,83.5m²,Cách Mạng Tháng Tám,,
,Nhà đất bán,Hồ Chí Minh,,Phú Nhuận,9/6/2018,9/13/2018,17423229,Tin thường,180,nha_dat_ban,504m²,Phan Xích Long,2,tỷ
,Nhà đất bán,Hà Nội,Đông,Tây Hồ,9/7/2018,9/14/2018,17428261,Tin thường,2.4,nha_dat_ban,45m²,,Phú Thượng,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 3,9/8/2018,9/15/2018,17523965,Tin thường,23,nha_dat_ban,97.5m²,Phạm Ngọc Thạch,6,tỷ
,Nhà đất bán,Đồng Nai,,Biên Hòa,9/8/2018,9/15/2018,16806032,Tin thường,800,nha_dat_ban,90m²,Nam Cao,Phước Tân,triệu
,Nhà đất bán,Hà Nội,,Tây Hồ,9/8/2018,9/15/2018,16982971,Tin thường,230,nha_dat_ban,160m²,Xuân La,Xuân La,triệu/m²
,Nhà đất bán,Hải Phòng,,Lê Chân,9/8/2018,9/17/2018,17383200,Tin thường,22,nha_dat_ban,105m²,Ngô Kim Tài,,triệu/m²
,Nhà đất bán,Đà Nẵng,,Sơn Trà,9/10/2018,9/17/2018,16157584,Tin thường,,nha_dat_ban,144m²,Lê Văn Duyệt,Nại Hiên Đông ,
,Nhà đất bán,Hồ Chí Minh,Nam,Quận 2,9/6/2018,9/13/2018,17420580,Tin thường,5.75,nha_dat_ban,80m²,Nguyễn Duy Trinh,An Phú,tỷ
,Nhà đất bán,Đà Nẵng,Đông,Ngũ Hành Sơn,9/5/2018,9/12/2018,16858771,Tin thường,,nha_dat_ban,573m²,,,
,Nhà đất bán,Hà Nội,Tây-Nam,Nam Từ Liêm,9/8/2018,9/15/2018,17521526,Tin thường,1.8,nha_dat_ban,40m²,Phương Canh,Phương Canh,tỷ
3+,Nhà đất bán,Hà Nội,,Đống Đa,9/6/2018,9/13/2018,17174841,Tin Vip 3,27,nha_dat_ban,201m²,Đê La Thành,Ô Chợ Dừa,triệu/m²
,Nhà đất cho thuê,Hồ Chí Minh,,Tân Bình,9/4/2018,9/11/2018,15145331,Tin thường,3.9,nha_dat_thue,20m²,Hoàng Hoa Thám,13,triệu/tháng
,Nhà đất bán,Đà Nẵng,Tây-Bắc,Hải Châu,9/10/2018,9/17/2018,17533725,Tin thường,38,nha_dat_ban,300m²,Bùi Viện,Hòa Cường Nam,triệu/m²
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 12,6/15/2018,9/15/2018,15571310,Tin thường,182.04,nha_dat_thue,220m²,Trường Chinh,Tân Hưng Thuận,nghìn/m2/tháng
5+,Nhà đất bán,Hồ Chí Minh,,Quận 11,9/8/2018,9/15/2018,17439233,Tin thường,7.6,nha_dat_ban,40m²,Nguyễn Bá Học,4,tỷ
,Nhà đất bán,Đà Nẵng,Đông,Ngũ Hành Sơn,9/6/2018,9/13/2018,17094606,Tin thường,3.8,nha_dat_ban,150m²,Trần Văn Hai,Hòa Hải,tỷ
,Nhà đất bán,Hồ Chí Minh,,Tân Phú,9/5/2018,9/12/2018,15922053,Tin thường,5.117,nha_dat_ban,115.94m²,Âu Cơ,Tân Sơn Nhì,tỷ
3+,Nhà đất cho thuê,Hà Nội,,Hà Đông,9/4/2018,9/12/2018,16323056,Tin thường,12,nha_dat_thue,155m²,Ao Sen,Mỗ Lao,triệu/tháng
2+,Nhà đất bán,Hà Nội,Đông-Nam,Sơn Tây,9/3/2018,9/10/2018,16548831,Tin thường,6,nha_dat_thue,72m²,Chùa Thông,Sơn Lộc,triệu/tháng
3+,Nhà đất bán,Hà Nội,Đông-Nam,Hà Đông,9/6/2018,9/13/2018,17354644,Tin thường,2.6,nha_dat_ban,33m²,19/5,Văn Quán,tỷ
,Nhà đất bán,Hà Nội,,Đan Phượng,6/5/2018,12/2/2018,16285929,Tin thường,7,nha_dat_thue,64m²,,Tân Lập,triệu/tháng
,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/9/2018,9/16/2018,17528996,Tin thường,15,nha_dat_thue,122m²,Hoàng Đạo Thúy,Trung Hòa,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Bình Tân,9/9/2018,9/16/2018,16247315,Tin thường,3.85,nha_dat_ban,107.5m²,Kinh Dương Vương,,tỷ
4+,Nhà đất cho thuê,Hồ Chí Minh,,Tân Bình,9/3/2018,9/10/2018,17342734,Tin thường,25,nha_dat_thue,100m²,Hoàng Kế Viêm,12,triệu/tháng
,Nhà đất bán,Hà Nội,,Nam Từ Liêm,9/6/2018,9/13/2018,17498209,Tin Vip 3,21,nha_dat_ban,190m²,Lê Đức Thọ,Mỹ Đình 2,tỷ
,Nhà đất bán,Hồ Chí Minh,Bắc,Quận 7,9/10/2018,9/17/2018,16318322,Tin thường,7.5,nha_dat_ban,80m²,Phú Thuận,Phú Thuận,tỷ
2+,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Tân Bình,9/4/2018,9/11/2018,17458973,Tin Vip 3,1.5,nha_dat_ban,64.6m²,Phan Huy Ích,15,tỷ
,Nhà đất cho thuê,Khánh Hòa,,Diên Khánh,9/5/2018,9/12/2018,17479052,Tin Vip 3,,nha_dat_thue,6400m²,,Diên Phú,
,Nhà đất bán,Kiên Giang,,Phú Quốc,9/6/2018,9/13/2018,17424150,Tin thường,13.9,nha_dat_ban,120.25m²,Dương Tơ,Dương Tơ,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 3,9/5/2018,9/12/2018,17481002,Tin Vip 3,26,nha_dat_ban,92m²,Võ Văn Tần,6,tỷ
,Nhà đất bán,Lào Cai,,Lào Cai,9/9/2018,9/16/2018,17530884,Tin thường,,nha_dat_ban,Không xác định,,,
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 9,9/2/2018,9/15/2018,17451922,Tin thường,40,nha_dat_thue,800m²,Võ Văn Hát,Long Trường,triệu/tháng
,Nhà đất bán,Đồng Nai,,Nhơn Trạch,9/9/2018,9/16/2018,17529679,Tin thường,1.65,nha_dat_ban,142m²,Lý Thái Tổ,Phú Hữu,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/9/2018,9/16/2018,17437083,Tin thường,27.5,nha_dat_ban,151.8m²,,Phú Hữu,triệu/m²
,Nhà đất bán,Thanh Hóa,,Thanh Hóa,9/7/2018,9/14/2018,17339299,Tin thường,5,nha_dat_ban,122m²,Đại lộ Châu Âu,,tỷ
,Nhà đất bán,Đồng Nai,,Long Thành,9/7/2018,9/14/2018,17511872,Tin thường,13,nha_dat_ban,100m²,Nguyễn Hải,Long Thành,triệu/m²
,Nhà đất bán,Hồ Chí Minh,,Nhà Bè,9/8/2018,9/15/2018,17441011,Tin thường,11.4,nha_dat_ban,304.6m²,Phạm Hữu Lầu,Phước Kiển,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Tân,4/4/2018,10/1/2018,15376591,Tin thường,20,nha_dat_ban,1400m²,Nguyễn Văn Cự,,tỷ
,Nhà đất bán,Đà Nẵng,,Liên Chiểu,9/5/2018,9/12/2018,16609586,Tin thường,2.2,nha_dat_ban,125m²,,Hòa Hiệp Nam,tỷ
,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/4/2018,9/11/2018,17457509,Tin thường,32,nha_dat_thue,60m²,Hoàng Quốc Việt,Nghĩa Tân,triệu/tháng
1+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/7/2018,9/14/2018,17517139,Tin thường,8,nha_dat_thue,52m²,15B,Phú Mỹ,triệu/tháng
,Nhà đất bán,Kiên Giang,,Phú Quốc,9/6/2018,9/13/2018,16744723,Tin thường,1.5,nha_dat_ban,118m²,Ba Trại,Cửa Dương,tỷ
,Nhà đất bán,Đà Nẵng,Tây-Nam,Cẩm Lệ,9/6/2018,9/13/2018,17111212,Tin thường,2.1,nha_dat_ban,81.6m²,Nguyễn Công Hoan,,tỷ
,Nhà đất bán,Hồ Chí Minh,,Thủ Đức,9/7/2018,9/14/2018,17384079,Tin thường,20,nha_dat_ban,80m²,Hoàng Diệu 2,Linh Trung,triệu/m²
,Nhà đất cho thuê,Hồ Chí Minh,,Tân Phú,7/31/2018,10/29/2018,17037185,Tin thường,106.46,nha_dat_thue,135m²,Số 18,Tân Quý,triệu/tháng
,Nhà đất bán,Bình Dương,,Thuận An,9/8/2018,9/15/2018,17522749,Tin thường,19,nha_dat_ban,80m²,ĐT 743,An Phú,triệu/m²
,Nhà đất cho thuê,Hồ Chí Minh,Đông-Bắc,Tân Bình,9/5/2018,9/12/2018,17082642,Tin thường,40,nha_dat_thue,160m²,Bàu Cát,14,triệu/tháng
